update,mean_coopval,count,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
93,0.501054,487,0,0,0,0,487,0,0,0,0,0
94,0.501005,493,0,0,0,0,493,0,0,0,0,0
95,0.500957,517,0,0,0,0,517,0,0,0,0,0
96,0.500875,571,0,0,0,0,571,0,0,0,0,0
97,0.500825,662,0,0,0,0,662,0,0,0,0,0
98,0.500934,775,0,0,0,0,775,0,0,0,0,0
99,0.501017,865,0,0,0,0,865,0,0,0,0,0
100,0.50109,915,0,0,0,0,915,0,0,0,0,0
101,0.50109,915,0,0,0,0,915,0,0,0,0,0
102,0.501084,916,0,0,0,0,916,0,0,0,0,0
103,0.501051,925,0,0,0,0,925,0,0,0,0,0
104,0.501021,944,0,0,0,0,944,0,0,0,0,0
105,0.500903,1011,0,0,0,0,1011,0,0,0,0,0
106,0.50086,1115,0,0,0,0,1115,0,0,0,0,0
107,0.500862,1293,0,0,0,0,1293,0,0,0,0,0
108,0.500951,1484,0,0,0,0,1484,0,0,0,0,0
109,0.500978,1622,0,0,0,0,1622,0,0,0,0,0
110,0.501049,1684,0,0,0,0,1684,0,0,0,0,0
111,0.501049,1684,0,0,0,0,1684,0,0,0,0,0
112,0.501031,1688,0,0,0,0,1688,0,0,0,0,0
113,0.500997,1709,0,0,0,0,1709,0,0,0,0,0
114,0.500963,1759,0,0,0,0,1759,0,0,0,0,0
115,0.500863,1888,0,0,0,0,1888,0,0,0,0,0
116,0.500804,2082,0,0,0,0,2082,0,0,0,0,0
117,0.500826,2363,0,0,0,0,2363,0,0,0,0,0
118,0.500922,2629,0,0,0,0,2629,0,0,0,0,0
119,0.500984,2793,0,0,0,0,2793,0,0,0,0,0
120,0.501015,2855,0,0,0,0,2855,0,0,0,0,0
121,0.501012,2857,0,0,0,0,2857,0,0,0,0,0
122,0.500985,2866,0,0,0,0,2866,0,0,0,0,0
123,0.500951,2914,0,0,0,0,2914,0,0,0,0,0
124,0.500902,3008,0,0,0,0,3008,0,0,0,0,0
125,0.50083,3214,0,0,0,0,3214,0,0,0,0,0
126,0.500865,3544,0,0,0,0,3544,0,0,0,0,0
127,0.500875,3908,0,0,0,0,3908,0,0,0,0,0
128,0.500944,4226,0,0,0,0,4226,0,0,0,0,0
129,0.501005,4405,0,0,0,0,4405,0,0,0,0,0
130,0.501022,4467,0,0,0,0,4467,0,0,0,0,0
131,0.501013,4472,0,0,0,0,4472,0,0,0,0,0
132,0.500998,4493,0,0,0,0,4493,0,0,0,0,0
133,0.500953,4562,0,0,0,0,4562,0,0,0,0,0
134,0.500898,4720,0,0,0,0,4720,0,0,0,0,0
135,0.500893,4984,0,0,0,0,4984,0,0,0,0,0
136,0.500907,5373,0,0,0,0,5373,0,0,0,0,0
137,0.500936,5732,0,0,0,0,5732,0,0,0,0,0
138,0.501042,5985,0,0,0,0,5985,0,0,0,0,0
139,0.50108,6116,0,0,0,0,6116,0,0,0,0,0
140,0.501089,6159,0,0,0,0,6159,0,0,0,0,0
141,0.501081,6170,0,0,0,0,6170,0,0,0,0,0
142,0.501056,6206,0,0,0,0,6206,0,0,0,0,0
143,0.501017,6281,0,0,0,0,6281,0,0,0,0,0
144,0.500954,6463,0,0,0,0,6463,0,0,0,0,0
145,0.500888,6737,0,0,0,0,6737,0,0,0,0,0
146,0.500891,7055,0,0,0,0,7055,0,0,0,0,0
147,0.500967,7331,0,0,0,0,7331,0,0,0,0,0
148,0.501012,7536,0,0,0,0,7536,0,0,0,0,0
149,0.501011,7624,0,0,0,0,7624,0,0,0,0,0
150,0.501029,7658,0,0,0,0,7658,0,0,0,0,0
151,0.501009,7668,0,0,0,0,7668,0,0,0,0,0
